description,budget,average_cast_pop,genre,director,success_label
"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break. [{'id': 240, 'name': 'underdog'}, {'id': 276, 'name': 'philadelphia'}, {'id': 396, 'name': 'transporter'}, {'id': 700, 'name': 'italo-american'}, {'id': 1721, 'name': 'fight'}, {'id': 2038, 'name': ""love of one's life""}, {'id': 2416, 'name': 'publicity'}, {'id': 2792, 'name': 'boxer'}, {'id': 4097, 'name': 'independence'}, {'id': 4487, 'name': 'boxing match'}, {'id': 4613, 'name': 'training'}, {'id': 4663, 'name': 'lovers'}, {'id': 4902, 'name': 'surprise'}, {'id': 5378, 'name': 'world champion'}, {'id': 5383, 'name': 'amateur'}, {'id': 6067, 'name': 'victory'}]",1000000,0.0,Drama,John G. Avildsen,hit
"The members of the Lambda Lambda Lambda fraternity travel to Fort Lauderdale for a fraternity conference. They'll have to beat off the attacks of their rival frat, the Alphas, if they want to maintain their self-respect -- and, of course, if they want to get anywhere with the pretty girls! [{'id': 5801, 'name': 'nerd'}, {'id': 6876, 'name': 'vacation'}, {'id': 10280, 'name': 'farce'}, {'id': 10623, 'name': 'jock'}, {'id': 160159, 'name': 'frame up'}, {'id': 160168, 'name': 'defector'}]",0,0.0,Comedy,Joe Roth,below average
"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend. [{'id': 255, 'name': 'male nudity'}, {'id': 293, 'name': 'female nudity'}, {'id': 596, 'name': 'adultery'}, {'id': 970, 'name': 'parent child relationship'}, {'id': 1599, 'name': 'midlife crisis'}, {'id': 1862, 'name': 'coming out'}, {'id': 2201, 'name': 'first time'}, {'id': 2249, 'name': 'camcorder'}, {'id': 2389, 'name': 'virgin'}, {'id': 2483, 'name': 'nudity'}, {'id': 2559, 'name': 'film maker'}, {'id': 2918, 'name': 'estate agent'}, {'id': 8201, 'name': 'satire'}, {'id': 9957, 'name': 'loneliness'}, {'id': 10123, 'name': 'dark comedy'}, {'id': 10532, 'name': 'suburbia'}, {'id': 10683, 'name': 'coming of age'}, {'id': 10776, 'name': 'marijuana'}, {'id': 33611, 'name': 'exercise'}, {'id': 224279, 'name': 'bittersweet'}, {'id': 229299, 'name': 'affair'}]",15000000,0.0,Drama,Sam Mendes,hit
"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music exec on the way. [{'id': 3605, 'name': 'baseball bat'}, {'id': 4129, 'name': 'widow'}, {'id': 4741, 'name': 'recording contract'}, {'id': 5718, 'name': 'recording studio'}, {'id': 8045, 'name': 'russian mafia'}, {'id': 10572, 'name': 'music business'}, {'id': 10712, 'name': 'night club'}, {'id': 163949, 'name': 'pawnshop'}]",53000000,0.0,Comedy,F. Gary Gray,above average
"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge. [{'id': 476, 'name': 'self-fulfilling prophecy'}, {'id': 521, 'name': 'washington d.c.'}, {'id': 2620, 'name': 'evidence'}, {'id': 2964, 'name': 'future'}, {'id': 3249, 'name': 'hologram'}, {'id': 4565, 'name': 'dystopia'}, {'id': 9826, 'name': 'murder'}, {'id': 207268, 'name': 'neo-noir'}, {'id': 236189, 'name': 'future noir'}]",102000000,0.0,Action,Steven Spielberg,hit
"Novica is a mathematics champion in a Belgrade high school. In an attempt to overcome the ‘geek’ status at school, Novica becomes attracted to the world of skinheads by his school friend Relja. Novica is exposed to violence, hooliganism and racism; embracing the ideology and climbing up the ladder in the gang hierarchy. [{'id': 379, 'name': 'skinhead'}, {'id': 7492, 'name': 'serbia'}]",500000,0.0,Action,Stevan Filipoviƒá,flop
"After attending the funeral of her grandmother in Dallas, the Lux Atlantic Hotel manager Lisa is waiting for a flight to Miami. Due to the bad weather and consequent flight delay, she meets in the airport bar Jack Rippner, who is also in the waiting list. They sit together in the plane, and Jack reveals that he wants Lisa to change the room in Lux of an important American politician to facilitate a terrorist attempt against him. Otherwise, Lisa's father will be killed by a hit man. Lisa has to decide what to do with the menacing man at her side. [{'id': 1562, 'name': 'hostage'}, {'id': 2250, 'name': 'menace'}, {'id': 2708, 'name': 'hitman'}, {'id': 3800, 'name': 'airplane'}]",26000000,0.0,Horror,Wes Craven,above average
"In 1857, at the height of his fame and fortune, novelist and social critic Charles Dickens meets and falls in love with teenage stage actress Nelly Ternan. As she becomes the focus of his heart and mind, as well as his muse, painful secrecy is the price both must pay. [{'id': 5565, 'name': 'biography'}, {'id': 180975, 'name': 'charles dickens'}]",0,0.0,Drama,Ralph Fiennes,flop
"While working a job at an exclusive ski resort to support her Dad, Kim learns to snowboard and is so good at it that she enters a competition with a huge cash prize. She has to dig deep to overcome her fears, but her life gets more complicated through her spoken-for boss, Jonny. [{'id': 271, 'name': 'competition'}, {'id': 3522, 'name': 'snowboarding'}, {'id': 5732, 'name': 'birthday party'}, {'id': 33657, 'name': 'chalet'}, {'id': 33661, 'name': 'snowboarding competition'}, {'id': 159558, 'name': 'skiing'}, {'id': 177473, 'name': 'engagement party'}]",8000000,0.0,Comedy,Phil Traill,flop
"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers. [{'id': 779, 'name': 'martial arts'}, {'id': 1601, 'name': 'war on drugs'}, {'id': 1930, 'name': 'kidnapping'}, {'id': 3088, 'name': 'bodyguard'}, {'id': 4725, 'name': 'baby-snatching'}]",32000000,0.0,Action,Louis Leterrier,above average
"The prospects for continuing life on Earth in the year 2058 are grim. So the Robinsons are launched into space to colonize Alpha Prime, the only other inhabitable planet in the galaxy. But when a stowaway sabotages the mission, the Robinsons find themselves hurtling through uncharted space. [{'id': 4379, 'name': 'time travel'}, {'id': 15246, 'name': 'sabotage'}, {'id': 168603, 'name': 'deep space explorer'}]",80000000,0.0,Adventure,Stephen Hopkins,hit
"An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naive counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason who stalks them at every turn. [{'id': 1889, 'name': 'lake'}, {'id': 5767, 'name': 'summer camp'}, {'id': 9826, 'name': 'murder'}, {'id': 10714, 'name': 'serial killer'}, {'id': 12339, 'name': 'slasher'}, {'id': 13088, 'name': 'summer'}, {'id': 163621, 'name': 'jason voorhees'}, {'id': 163651, 'name': 'one by one'}, {'id': 163652, 'name': 'friday the thirteenth'}]",4000000,0.0,Horror,Steve Miner,average
"When a group of misfits is hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for. [{'id': 6435, 'name': 'webcam'}, {'id': 9706, 'name': 'anthology'}, {'id': 11616, 'name': 'vhs'}, {'id': 11728, 'name': 'burglary'}, {'id': 33933, 'name': 'split screen'}, {'id': 163053, 'name': 'found footage'}, {'id': 171993, 'name': 'mumblecore'}, {'id': 172992, 'name': 'ghost child'}, {'id': 174110, 'name': 'boxer shorts'}, {'id': 180374, 'name': 'vcr'}, {'id': 180377, 'name': 'halloween mask'}, {'id': 210012, 'name': 'mumblegore'}, {'id': 214544, 'name': 'horror anthology'}]",0,0.0,Thriller,Joe Swanberg,flop
"Kaitlyn, an ER nurse who is tending to a young stabbing victim, is accidentally electrocuted by the defibrillator that is used in an effort to save the woman's life. Almost immediately Kaitlyn starts to experience the victim's memories. She turns to family, friends, and the police, but no one takes her seriously. She decides that she must take it upon herself to try to solve the crime - or risk the terrifying visions ending in her own sanity being at stake. Ultimately Kaitlyn teams up with the detective on the case and weaves her way through the victim's past - to discover not only the brutal truth, but also some very unexpected lessons about life, love, sorrow and forgiveness along the way. (official website) ",0,0.0,Thriller,Richard Gabai,flop
"A genetic engineering experiment gone horribly awry turns a large flock of docile sheep into unrelenting killing machines in this rural horror comedy directed by Jonathan King and featuring special effects designed by Weta Workshop. [{'id': 2658, 'name': 'new zealand'}, {'id': 3020, 'name': 'sheep'}, {'id': 223059, 'name': 'animal horror'}]",0,0.0,Horror,Jonathan King,flop
"In 1957, Evan Rendell flees after his father is lynched for killing multiple patients in his effort to find a replacement heart for his ailing wife. After 35 years, Evan escapes from a mental institution and returns to town for revenge, killing off residents one by one. When Jennifer and her friends break into the Rendell house out of morbid curiosity, Evan notices Jennifer has a heart condition similar to his mother and decides to make her his final victim. ",0,0.0,Comedy,Manny Coto,flop
"An employee of a corporation with a lucrative secret process is tempted to betray it. But there's more to it than that. [{'id': 811, 'name': 'dialogue'}, {'id': 2246, 'name': 'confidence'}, {'id': 3338, 'name': 'invention'}, {'id': 10183, 'name': 'independent film'}]",10000000,0.0,Crime,David Mamet,below average
"Wallace, a medical school dropout, has been repeatedly burned by bad relationships. So while everyone around him, including his roommate Allan, seems to be finding the perfect partner, Wallace decides to put his love life on hold.  It is then that he meets Chantry, an animator who lives with her long term boyfriend Ben.  Wallace and Chantry form an instant connection, striking up a close friendship. But there is no denying the chemistry between them, leading the pair to wonder:  what if the love of your life is actually your best friend? [{'id': 10556, 'name': 'male female relationship'}, {'id': 12392, 'name': 'best friend'}, {'id': 13072, 'name': 'falling in love'}]",11000000,0.0,Drama,Michael Dowse,flop
"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons. [{'id': 4290, 'name': 'toy'}, {'id': 4375, 'name': 'transformation'}, {'id': 10542, 'name': 'based on toy'}, {'id': 10607, 'name': 'transformers'}, {'id': 234249, 'name': 'robots'}, {'id': 238465, 'name': 'intergalactic war'}]",6000000,0.0,Animation,Nelson Shin,flop
"A rush-hour fender-bender on New York City's crowded FDR Drive, under most circumstances, wouldn't set off a chain reaction that could decimate two people's lives. But on this day, at this time, a minor collision will turn two complete strangers into vicious adversaries. Their means of destroying each other might be different, but their goals, ultimately, will be the same: Each will systematically try to dismantle the other's life in a reckless effort to reclaim something he has lost. [{'id': 242, 'name': 'new york'}, {'id': 4056, 'name': 'custody battle'}, {'id': 9937, 'name': 'suspense'}, {'id': 10909, 'name': 'lawyer'}]",45000000,0.0,Action,Roger Michell,above average
"A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects. [{'id': 3230, 'name': 'male friendship'}, {'id': 4501, 'name': 'masseuse'}, {'id': 6054, 'name': 'friendship'}, {'id': 155697, 'name': 'aristocrat'}, {'id': 165583, 'name': 'interracial friendship'}, {'id': 167982, 'name': 'unlikely friendship'}, {'id': 179431, 'name': 'duringcreditsstinger'}]",13000000,0.0,Drama,Eric Toledano,hit
"A married couple is terrorized by a series of videotapes planted on their front porch. [{'id': 90, 'name': 'paris'}, {'id': 213, 'name': 'upper class'}, {'id': 1525, 'name': 'puberty'}, {'id': 1596, 'name': 'anonymous letter'}, {'id': 1660, 'name': 'suppressed past'}, {'id': 2245, 'name': 'massacre on french algerians 1961'}, {'id': 2246, 'name': 'confidence'}, {'id': 2248, 'name': 'moderator'}, {'id': 2249, 'name': 'camcorder'}, {'id': 2250, 'name': 'menace'}, {'id': 2251, 'name': 'lie'}, {'id': 2263, 'name': 'algerian'}, {'id': 3297, 'name': 'videoband'}, {'id': 6258, 'name': 'intellectual'}, {'id': 33674, 'name': 'conscience'}]",0,0.0,Mystery,Michael Haneke,average
"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family. [{'id': 242, 'name': 'new york'}, {'id': 616, 'name': 'witch'}, {'id': 8862, 'name': 'uprising'}, {'id': 177900, 'name': 'witch hunter'}]",90000000,0.0,Fantasy,Breck Eisner,hit
"Taking all that was great from the first installment, ABCs OF DEATH 2 aims to be a wilder, leaner, faster paced and even more entertaining anthology this time around, with a new crop of award-winning, visionary filmmakers from around the globe. [{'id': 9706, 'name': 'anthology'}, {'id': 187056, 'name': 'woman director'}, {'id': 210012, 'name': 'mumblegore'}, {'id': 214544, 'name': 'horror anthology'}]",0,0.0,Horror,Rodney Ascher,flop
"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother. [{'id': 1704, 'name': 'ambassador'}]",140000000,0.0,Action,Brett Ratner,hit
"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police. [{'id': 180366, 'name': 'broken trachea'}]",30000000,0.0,Action,Boaz Yakin,average
"A waitress falls for a handsome customer who seduces her, her two sisters, her brother, and her brother's girlfriend. [{'id': 572, 'name': 'sex'}, {'id': 828, 'name': 'waitress'}, {'id': 1156, 'name': 'sister sister relationship'}, {'id': 1326, 'name': 'infidelity'}, {'id': 2389, 'name': 'virgin'}, {'id': 3182, 'name': 'seduction'}, {'id': 5301, 'name': 'brother'}, {'id': 5490, 'name': 'girlfriend'}, {'id': 6038, 'name': 'marriage'}, {'id': 6167, 'name': 'engagement'}, {'id': 9673, 'name': 'love'}, {'id': 10183, 'name': 'independent film'}, {'id': 14534, 'name': 'relationship'}, {'id': 155241, 'name': 'customer'}]",0,0.0,Comedy,Gerard Stembridge,flop
"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House. [{'id': 1261, 'name': 'river'}, {'id': 1402, 'name': 'general'}, {'id': 3664, 'name': 'research'}, {'id': 6092, 'name': 'army'}, {'id': 8803, 'name': 'serum'}, {'id': 15149, 'name': 'monkey'}, {'id': 17995, 'name': 'epidemic'}, {'id': 158025, 'name': 'medical research'}]",50000000,0.0,Action,Wolfgang Petersen,hit
"A gritty, international tale of four separate stories woven together by a common theme: the Rapture. ",0,0.0,Thriller,Timothy A. Chey,flop
"During the last winter of the Civil War, cavalry officer Amos Dundee leads a contentious troop of Army regulars, Confederate prisoners and scouts on an expedition into Mexico to destroy a band of Apaches who have been raiding U.S. bases in Texas. [{'id': 534, 'name': 'mexico'}, {'id': 1968, 'name': 'prisoners of war'}, {'id': 4616, 'name': 'apache'}, {'id': 14748, 'name': 'raid'}, {'id': 163188, 'name': 'confederate'}]",3800000,0.0,War,Sam Peckinpah,flop
"In the 1980s, ruthless Colombian cocaine barons invaded Miami with a brand of violence unseen in this country since Prohibition-era Chicago - and it put the city on the map. ""Cocaine Cowboys"" is the true story of how Miami became the drug, murder and cash capital of the United States, told by the people who made it all happen. [{'id': 2150, 'name': 'cocaine'}, {'id': 2231, 'name': 'drug dealer'}]",0,0.0,Action,Billy Corben,flop
"When petty criminal Luke Jackson is sentenced to two years in a Florida prison farm, he doesn't play by the rules of either the sadistic warden or the yard's resident heavy, Dragline, who ends up admiring the new guy's unbreakable will. Luke's bravado, even in the face of repeated stints in the prison's dreaded solitary confinement cell, ""the box,"" make him a rebel hero to his fellow convicts and a thorn in the side of the prison officers. [{'id': 378, 'name': 'prison'}, {'id': 526, 'name': 'rebel'}, {'id': 936, 'name': 'loss of mother'}, {'id': 2539, 'name': 'harassment'}, {'id': 2883, 'name': 'imprisonment'}, {'id': 3737, 'name': 'dying and death'}, {'id': 4487, 'name': 'boxing match'}, {'id': 10685, 'name': 'escape'}, {'id': 11246, 'name': 'barbed wire'}, {'id': 11430, 'name': 'punched in the face'}, {'id': 12605, 'name': 'eggs'}, {'id': 34079, 'name': 'death'}]",3000000,0.0,Crime,Stuart Rosenberg,below average
"A comedy-drama about best friends - one a straight woman, Abbie, the other a gay man, Robert - who decide to have a child together. Five years later, Abbie falls in love with a straight man and wants to move away with her and Robert's little boy Sam, and a nasty custody battle ensues. [{'id': 237, 'name': 'gay'}, {'id': 970, 'name': 'parent child relationship'}, {'id': 4056, 'name': 'custody battle'}, {'id': 5568, 'name': 'flush'}, {'id': 5828, 'name': 'yoga'}, {'id': 9457, 'name': 'single'}, {'id': 12392, 'name': 'best friend'}, {'id': 12670, 'name': 'los angeles'}, {'id': 33479, 'name': 'single father'}, {'id': 212873, 'name': 'co-parenting'}]",25000000,0.0,Comedy,John Schlesinger,below average
"A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away. [{'id': 242, 'name': 'new york'}, {'id': 2587, 'name': 'married couple'}, {'id': 14633, 'name': 'moving out'}, {'id': 18253, 'name': 'moving'}, {'id': 33632, 'name': 'apartment'}]",6000000,0.0,Drama,Richard Loncraine,flop
"With the wedding of her younger sister fast approaching, Kat Ellis faces the undesirable prospect of traveling alone to London for the ceremony. While this is bad enough, Jeffrey, the man who left her as they moved closer to marriage, happens to be the groom's best man. Determined to show everyone -- most of all Jeffrey -- that her romantic life is as full and thrilling as ever, Kat hires a charming male escort as her date. [{'id': 818, 'name': 'based on novel'}, {'id': 6739, 'name': 'callboy'}, {'id': 13027, 'name': 'wedding'}, {'id': 156731, 'name': 'escort'}, {'id': 156760, 'name': 'fake boyfriend'}, {'id': 187056, 'name': 'woman director'}]",15000000,0.0,Comedy,Clare Kilner,average
"A chambermaid and a former cop meet at a speed dating event and a romance develops. But during a romantic getaway things suddenly take a turn for the worse when her mysterious past is revealed. [{'id': 236, 'name': 'suicide'}, {'id': 572, 'name': 'sex'}, {'id': 612, 'name': 'hotel'}, {'id': 1566, 'name': 'dream'}, {'id': 2800, 'name': 'psychology'}, {'id': 6203, 'name': 'loss'}, {'id': 8015, 'name': 'cop'}, {'id': 9673, 'name': 'love'}, {'id': 11666, 'name': 'microphone'}, {'id': 13094, 'name': 'photograph'}, {'id': 13095, 'name': 'death of lover'}]",3906840,0.0,Crime,Giuseppe Capotondi,flop
"Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation. [{'id': 2078, 'name': 'mammoth'}, {'id': 2079, 'name': 'sloth'}, {'id': 2219, 'name': 'ice age'}, {'id': 2223, 'name': 'barrier ice'}, {'id': 2224, 'name': 'ice melting'}, {'id': 2984, 'name': 'iceberg'}, {'id': 3528, 'name': 'flooding'}, {'id': 4414, 'name': 'adventure'}, {'id': 4663, 'name': 'lovers'}, {'id': 4875, 'name': 'deluge'}, {'id': 158017, 'name': 'saber-toothed tiger'}]",80000000,0.0,Animation,Carlos Saldanha,blockbuster
"Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception. [{'id': 801, 'name': 'bounty hunter'}, {'id': 1016, 'name': 'wyoming'}, {'id': 1262, 'name': 'mountain'}, {'id': 2398, 'name': 'narration'}, {'id': 7150, 'name': 'hangman'}, {'id': 33600, 'name': 'stagecoach'}, {'id': 156783, 'name': 'blizzard'}, {'id': 187321, 'name': 'post civil war'}]",44000000,0.0,Crime,Quentin Tarantino,hit
"Middle-aged and divorced, Wilson finds himself lonely, smug and obsessed with his past. [{'id': 2487, 'name': 'naivety'}, {'id': 2794, 'name': 'oddball'}, {'id': 5600, 'name': 'daughter'}, {'id': 9789, 'name': 'misfit'}, {'id': 15162, 'name': 'dog'}, {'id': 18053, 'name': 'divorcee'}, {'id': 18712, 'name': 'based on graphic novel'}, {'id': 178517, 'name': 'middle aged man'}]",0,0.0,Drama,Craig Johnson,flop
"Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years. [{'id': 10988, 'name': 'based on tv series'}, {'id': 34079, 'name': 'death'}, {'id': 162410, 'name': 'exploding planet'}, {'id': 162415, 'name': 'mountain cabin'}, {'id': 162429, 'name': 'solar system'}]",38000000,0.0,Science Fiction,David Carson,hit
"‘Moscou’ is a densely populated working class neighbourhood on the outskirts of Ghent, Belgium. Matty, mother of three, bumps her car into a truck on the parking lot of a supermarket. Johnny climbs down from the cabin. He is infuriated by the dent in his front bumper and yells at Matty. Although impressed by the accident, Matty fights back with sharp words. Their discussion turns into a row, and the police have to intervene. Matty goes home, the trunk of her car dancing up and down. Back in her apartment, Matty takes a hot bath to recover from the afternoon’s emotionswhen the phone rings. It’s Johnny, apologizing for his behaviour on the parking lot. Matty tells him to stay out of her life. A dramatic comedy begins about a woman whose soul is full of dents and bruises. [{'id': 1545, 'name': 'supermarket'}, {'id': 1599, 'name': 'midlife crisis'}, {'id': 9276, 'name': 'truck'}, {'id': 10616, 'name': 'urban'}, {'id': 10768, 'name': 'lesbian'}, {'id': 11935, 'name': 'working class'}, {'id': 15156, 'name': 'cell phone'}, {'id': 154060, 'name': 'happiness'}, {'id': 155497, 'name': 'truck driver'}, {'id': 173431, 'name': 'tarot'}]",560000,0.0,Romance,Christophe Van Rompaey,flop
"Professional daredevil and white-suited hero, The Great Leslie, convinces turn-of-the-century auto makers that a race from New York to Paris (westward across America, the Bering Straight and Russia) will help to promote automobile sales. Leslie's arch-rival, the mustached and black-attired Professor Fate vows to beat Leslie to the finish line in a car of Fate's own invention. [{'id': 9253, 'name': 'slapstick'}, {'id': 159753, 'name': 'ensemble cast'}, {'id': 159953, 'name': 'automobile racing'}, {'id': 196401, 'name': 'cross country race'}, {'id': 205850, 'name': 'turn of the century'}]",12000000,0.0,Adventure,Blake Edwards,average
"The only chance to escape a desert island is to convert the plane carrying many different animals into a boat. [{'id': 9963, 'name': 'kids and family'}, {'id': 10168, 'name': 'aviation'}, {'id': 11085, 'name': 'castaway'}, {'id': 11823, 'name': 'pacific island'}, {'id': 161155, 'name': 'kids'}]",0,0.0,Adventure,Charles Jarrott,below average
"Darcy, editor at her highschool paper, and her long-term boyfriend Stan are in their last months of school and already have found places in good colleges. Recently they started to sleep with each other and, surprise, surprise, Darcy gets pregnant. Neither Darcy's mother, who was left by her husband and had to bring up Darcy alone, nor Stan's catholic parents are very supportive and urge them to h [{'id': 10681, 'name': 'from backpacks to strollers'}]",0,0.0,Drama,John G. Avildsen,below average
"Follows the epic Biblical story of the Resurrection, as told through the eyes of a non-believer. Clavius, a powerful Roman Military Tribune, and his aide Lucius, are tasked with solving the mystery of what happened to Jesus in the weeks following the crucifixion, in order to disprove the rumors of a risen Messiah and prevent an uprising in Jerusalem. [{'id': 186, 'name': 'christianity'}, {'id': 2974, 'name': 'jesus christ'}, {'id': 3033, 'name': 'apostle'}, {'id': 3571, 'name': 'crucifixion'}, {'id': 3575, 'name': 'jerusalem'}, {'id': 5049, 'name': 'ancient rome'}, {'id': 6150, 'name': 'faith'}, {'id': 6506, 'name': 'resurrection'}, {'id': 10877, 'name': 'dead body'}, {'id': 11704, 'name': 'judaism'}, {'id': 14989, 'name': 'religious'}, {'id': 156081, 'name': 'tomb'}]",20000000,0.0,Action,Kevin Reynolds,average
