id,budget,imdb_id,original_language,original_title,overview,popularity,release_date,runtime,status,tagline,title,revenue,genres_extracted,keywords_extracted,top_cast,directors,production_companies_extracted,production_countries_extracted,spoken_languages_extracted,collection_name
11,1000000.0,tt0075148,en,Rocky,"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break.",14.774066,1976-11-21,119.0,Released,His whole life was a million-to-one shot.,Rocky,117235147,Drama,"underdog, philadelphia, transporter, italo-american, fight, love of one's life, publicity, boxer, independence, boxing match, training, lovers, surprise, world champion, amateur, victory","Sylvester Stallone, Talia Shire, Burt Young",John G. Avildsen,United Artists,United States of America,English,Rocky Collection
12,16000000.0,tt0093857,en,Revenge of the Nerds II: Nerds in Paradise,"The members of the Lambda Lambda Lambda fraternity travel to Fort Lauderdale for a fraternity conference. They'll have to beat off the attacks of their rival frat, the Alphas, if they want to maintain their self-respect -- and, of course, if they want to get anywhere with the pretty girls!",10.54375,1987-07-10,98.0,Released,They're Back!,Revenge of the Nerds II: Nerds in Paradise,22642033,Comedy,"nerd, vacation, farce, jock, frame up, defector","Robert Carradine, Curtis Armstrong, Larry B. Scott",Joe Roth,"Twentieth Century Fox Film Corporation, Amercent Films, American Entertainment Partners L.P., Interscope Communications",United States of America,English,Revenge of the Nerds Collection
13,15000000.0,tt0169547,en,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",20.726578,1999-09-15,122.0,Released,Look closer.,American Beauty,356296601,Drama,"male nudity, female nudity, adultery, parent child relationship, midlife crisis, coming out, first time, camcorder, virgin, nudity, film maker, estate agent, satire, loneliness, dark comedy, suburbia, coming of age, marijuana, exercise, bittersweet, affair","Kevin Spacey, Annette Bening, Thora Birch",Sam Mendes,"DreamWorks SKG, Jinks/Cohen Company",United States of America,English,
14,53000000.0,tt0377471,en,Be Cool,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music exec on the way.",13.314233,2005-03-04,118.0,Released,Everyone is looking for the next big hit,Be Cool,95226116,"Comedy, Crime","baseball bat, widow, recording contract, recording studio, russian mafia, music business, night club, pawnshop","John Travolta, Uma Thurman, Vince Vaughn",F. Gary Gray,"Double Feature Films, Jersey Films, Nina Saxon Film Design, Metro-Goldwyn-Mayer (MGM)",United States of America,"English, Pусский",Chili Palmer Collection
15,102000000.0,tt0181689,en,Minority Report,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",20.666063,2002-06-20,145.0,Released,The system is perfect until it comes after you.,Minority Report,358372926,"Action, Thriller, Science Fiction, Mystery","self-fulfilling prophecy, washington d.c., evidence, future, hologram, dystopia, murder, neo-noir, future noir","Tom Cruise, Colin Farrell, Samantha Morton",Steven Spielberg,"DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment, Twentieth Century Fox Film Corporation, Blue Tulip Productions, Ronald Shusett/Gary Goldman, Digital Image Associates",United States of America,"English, svenska",
16,500000.0,tt1129437,sr,Šišanje,"Novica is a mathematics champion in a Belgrade high school. In an attempt to overcome the ‘geek’ status at school, Novica becomes attracted to the world of skinheads by his school friend Relja. Novica is exposed to violence, hooliganism and racism; embracing the ideology and climbing up the ladder in the gang hierarchy.",1.018477,2010-10-06,97.0,Released,Life is sometimes rude game: one mistake can buy you ticket to hell.,Skinning,198,"Action, Crime, Drama","skinhead, serbia","Nikola Rakoƒçeviƒá, Viktor Saviƒá, Nata≈°a Tapu≈°koviƒá",Stevan Filipoviƒá,Hypnopolis,Serbia,Srpski,
17,26000000.0,tt0421239,en,Red Eye,"After attending the funeral of her grandmother in Dallas, the Lux Atlantic Hotel manager Lisa is waiting for a flight to Miami. Due to the bad weather and consequent flight delay, she meets in the airport bar Jack Rippner, who is also in the waiting list. They sit together in the plane, and Jack reveals that he wants Lisa to change the room in Lux of an important American politician to facilitate a terrorist attempt against him. Otherwise, Lisa's father will be killed by a hit man. Lisa has to decide what to do with the menacing man at her side.",6.336927,2005-08-04,85.0,Released,Fear takes flight.,Red Eye,57891803,"Horror, Thriller","hostage, menace, hitman, airplane","Rachel McAdams, Cillian Murphy, Brian Cox",Wes Craven,"DreamWorks SKG, Craven-Maddalena Films, BenderSpink",United States of America,"English, Pусский",
18,16000000.0,tt1700845,en,The Invisible Woman,"In 1857, at the height of his fame and fortune, novelist and social critic Charles Dickens meets and falls in love with teenage stage actress Nelly Ternan. As she becomes the focus of his heart and mind, as well as his muse, painful secrecy is the price both must pay.",4.183558,2013-12-25,111.0,Released,His greatest story was the one he could never tell.,The Invisible Woman,1234254,"Drama, Romance","biography, charles dickens","Ralph Fiennes, Felicity Jones, Joanna Scanlan",Ralph Fiennes,"BBC Films, Headline Pictures, Magnolia Mae Films, Taeoo Entertainment",United Kingdom,English,
19,8000000.0,tt1487118,en,Chalet Girl,"While working a job at an exclusive ski resort to support her Dad, Kim learns to snowboard and is so good at it that she enters a competition with a huge cash prize. She has to dig deep to overcome her fears, but her life gets more complicated through her spoken-for boss, Jonny.",6.496259,2011-02-02,96.0,Released,How to marry a billionaire.,Chalet Girl,1749457,"Comedy, Romance","competition, snowboarding, birthday party, chalet, snowboarding competition, skiing, engagement party","Felicity Jones, Ed Westwick, Brooke Shields",Phil Traill,"UK Film Council, Prescience, Aegis Film Fund, Kaleidoscope Films","Austria, Germany, United Kingdom","Deutsch, English",
20,32000000.0,tt0388482,en,Transporter 2,"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers.",11.359659,2005-08-02,87.0,Released,The Best In The Business Is Back In The Game.,Transporter 2,85167639,"Action, Thriller, Crime","martial arts, war on drugs, kidnapping, bodyguard, baby-snatching","Jason Statham, Amber Valletta, Kate Nauta",Louis Leterrier,"Twentieth Century Fox Film Corporation, Current Entertainment, TF1 Films Production, Canal+, TPS Star, EuropaCorp, Sea Side Films Florida Inc.",France,"English, Français, Italiano",The Transporter Collection
21,80000000.0,tt0120738,en,Lost in Space,"The prospects for continuing life on Earth in the year 2058 are grim. So the Robinsons are launched into space to colonize Alpha Prime, the only other inhabitable planet in the galaxy. But when a stowaway sabotages the mission, the Robinsons find themselves hurtling through uncharted space.",12.000579,1998-04-03,130.0,Released,"Danger, Will Robinson!",Lost in Space,136159423,"Adventure, Family, Science Fiction","time travel, sabotage, deep space explorer","Gary Oldman, William Hurt, Matt LeBlanc",Stephen Hopkins,"New Line Cinema, Irwin Allen Productions, Prelude Pictures, Saltire Entertainment",United States of America,English,
22,4000000.0,tt0083972,en,Friday the 13th Part III,"An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naive counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason who stalks them at every turn.",7.99229,1982-08-13,95.0,Released,There's nowhere to hide. We dare you to try.,Friday the 13th Part III,36690067,"Horror, Thriller","lake, summer camp, murder, serial killer, slasher, summer, jason voorhees, one by one, friday the thirteenth","Dana Kimmell, Paul Kratka, Tracie Savage",Steve Miner,"Paramount Pictures, Jason Productions",United States of America,English,Friday the 13th Collection
23,16000000.0,tt2105044,en,V/H/S,"When a group of misfits is hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for.",7.820787,2012-07-28,116.0,Released,This collection is killer.,V/H/S,100345,"Thriller, Horror","webcam, anthology, vhs, burglary, split screen, found footage, mumblecore, ghost child, boxer shorts, vcr, halloween mask, mumblegore, horror anthology","Calvin Lee Reeder, Lane Hughes, Adam Wingard","Joe Swanberg, Matt Bettinelli-Olpin, Glenn McQuaid, Ti West, Adam Wingard, David Bruckner, Tyler Gillett, Justin Martinez, Chad Villella, Radio Silence","The Collective, Bloody Disgusting, 8383 Productions",United States of America,English,V/H/S Collection
24,16000000.0,tt1687277,en,InSight,"Kaitlyn, an ER nurse who is tending to a young stabbing victim, is accidentally electrocuted by the defibrillator that is used in an effort to save the woman's life. Almost immediately Kaitlyn starts to experience the victim's memories. She turns to family, friends, and the police, but no one takes her seriously. She decides that she must take it upon herself to try to solve the crime - or risk the terrifying visions ending in her own sanity being at stake. Ultimately Kaitlyn teams up with the detective on the case and weaves her way through the victim's past - to discover not only the brutal truth, but also some very unexpected lessons about life, love, sorrow and forgiveness along the way. (official website)",1.323333,2011-09-02,92.0,Released,Fear what you see,InSight,17011,"Thriller, Mystery, Foreign",,"Max Perlich, Lesley-Ann Brandt, Matt Knudsen",Richard Gabai," Braeburn Entertainment,  Check Entertainment, G.C. Pix ",United States of America,English,
25,16000000.0,tt0779982,en,Black Sheep,A genetic engineering experiment gone horribly awry turns a large flock of docile sheep into unrelenting killing machines in this rural horror comedy directed by Jonathan King and featuring special effects designed by Weta Workshop.,7.434577,2006-09-09,87.0,Released,"There are over 40 million sheep in New Zealand, and they're pissed off!",Black Sheep,4947717,"Horror, Comedy","new zealand, sheep, animal horror","Nathan Meister, Peter Feeney, Danielle Mason",Jonathan King,"New Zealand Film Commission, Live Stock Films",New Zealand,"English, Français, Italiano",
26,16000000.0,tt0104139,en,Dr. Giggles,"In 1957, Evan Rendell flees after his father is lynched for killing multiple patients in his effort to find a replacement heart for his ailing wife. After 35 years, Evan escapes from a mental institution and returns to town for revenge, killing off residents one by one. When Jennifer and her friends break into the Rendell house out of morbid curiosity, Evan notices Jennifer has a heart condition similar to his mother and decides to make her his final victim.",1.252367,1992-10-23,95.0,Released,The Doctor is out... of his mind.,Dr. Giggles,8403433,"Comedy, Horror, Mystery, Thriller",,"Larry Drake, Holly Marie Combs, Cliff DeYoung",Manny Coto,"Universal Pictures, Dark Horse Entertainment, Largo Entertainment, JVC Entertainment Networks","Japan, United States of America",English,
27,10000000.0,tt0120176,en,The Spanish Prisoner,An employee of a corporation with a lucrative secret process is tempted to betray it. But there's more to it than that.,4.305735,1997-09-08,110.0,Released,It's the oldest con in the book.,The Spanish Prisoner,13835130,"Crime, Drama, Mystery, Thriller","dialogue, confidence, invention, independent film","Steve Martin, Campbell Scott, Ben Gazzara",David Mamet,"Jean Doumanian Productions, Sweetland Films, Magnolia Films, Jasmine Productions Inc.",United States of America,English,
28,11000000.0,tt1486834,en,What If,"Wallace, a medical school dropout, has been repeatedly burned by bad relationships. So while everyone around him, including his roommate Allan, seems to be finding the perfect partner, Wallace decides to put his love life on hold.  It is then that he meets Chantry, an animator who lives with her long term boyfriend Ben.  Wallace and Chantry form an instant connection, striking up a close friendship. But there is no denying the chemistry between them, leading the pair to wonder:  what if the love of your life is actually your best friend?",10.841891,2013-09-07,93.0,Released,...being friends has its benefits?,What If,7847000,"Drama, Comedy, Romance","male female relationship, best friend, falling in love","Daniel Radcliffe, Zoe Kazan, Rafe Spall",Michael Dowse,"Fastnet Films, Caramel Film, No Trace Camping","Canada, Ireland",English,
29,6000000.0,tt0092106,en,The Transformers: The Movie,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",6.759181,1986-08-08,84.0,Released,Beyond good. Beyond evil. Beyond your wildest imagination.,The Transformers: The Movie,5849647,Animation,"toy, transformation, based on toy, transformers, robots, intergalactic war","Judd Nelson, Peter Cullen, Frank Welker",Nelson Shin,"De Laurentiis Entertainment Group (DEG), Marvel Productions, Hasbro, Sunbow Productions",United States of America,"English, 日本語",
30,45000000.0,tt0264472,en,Changing Lanes,"A rush-hour fender-bender on New York City's crowded FDR Drive, under most circumstances, wouldn't set off a chain reaction that could decimate two people's lives. But on this day, at this time, a minor collision will turn two complete strangers into vicious adversaries. Their means of destroying each other might be different, but their goals, ultimately, will be the same: Each will systematically try to dismantle the other's life in a reckless effort to reclaim something he has lost.",7.81862,2002-04-07,89.0,Released,"An ambitious lawyer, a desperate father, they had no reason to meet, until today,",Changing Lanes,94935764,"Action, Adventure, Crime, Thriller","new york, custody battle, suspense, lawyer","Ben Affleck, Samuel L. Jackson, Kim Staunton",Roger Michell,Paramount Pictures,United States of America,English,
31,13000000.0,tt1675434,fr,Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,16.086919,2011-11-02,112.0,Released,Sometimes you have to reach into someone else's world to find out what's missing in your own.,The Intouchables,426480871,"Drama, Comedy","male friendship, masseuse, friendship, aristocrat, interracial friendship, unlikely friendship, duringcreditsstinger","Fran√ßois Cluzet, Omar Sy, Audrey Fleurot","Eric Toledano, Olivier Nakache","Gaumont, TF1 Films Production, Canal+, CinéCinéma, Quad Productions, Chaocorp, Ten Films, TF1",France,"English, Français",
32,16000000.0,tt0387898,fr,Caché,A married couple is terrorized by a series of videotapes planted on their front porch.,5.69586,2005-05-02,117.0,Released,,Caché,36000000,"Mystery, Drama, Thriller","paris, upper class, puberty, anonymous letter, suppressed past, massacre on french algerians 1961, confidence, moderator, camcorder, menace, lie, algerian, videoband, intellectual, conscience","Daniel Auteuil, Juliette Binoche, Annie Girardot",Michael Haneke,"Les Films du Losange, Wega Film, BIM Distribuzione, Centre National de la Cinématographie, Filmstiftung Nordrhein-Westfalen, France 3 Cinéma, Eurimages, Bavaria Film, Canal+, Studio Canal, Arte France Cinéma, Westdeutscher Rundfunk (WDR), Filmfonds Wien, ORF Film/Fernseh-Abkommen, Österreichisches Filminstitut","Austria, France, Germany, Italy, United States of America",Français,
33,90000000.0,tt1618442,en,The Last Witch Hunter,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.",13.412445,2015-10-21,106.0,Released,Hunt forever.,The Last Witch Hunter,146936910,"Fantasy, Action, Adventure","new york, witch, uprising, witch hunter","Vin Diesel, Rose Leslie, Elijah Wood",Breck Eisner,"Summit Entertainment, Atmosphere Entertainment MM, One Race Films, Goldmann Pictures, NeoReel, Aperture Entertainment, TIK Films",United States of America,English,
34,16000000.0,tt2926810,en,ABCs of Death 2,"Taking all that was great from the first installment, ABCs OF DEATH 2 aims to be a wilder, leaner, faster paced and even more entertaining anthology this time around, with a new crop of award-winning, visionary filmmakers from around the globe.",8.254856,2014-10-02,125.0,Released,Some people never learn,ABCs of Death 2,7171,Horror,"anthology, woman director, mumblegore, horror anthology","Eric Jacobus, Julian Barratt, Ian Virgo","Rodney Ascher, Bill Plympton, Erik Matti, Lancelot Oduwa Imasuen, Kristina Buozyte, Bruno Samper, Vincenzo Natali, Larry Fessenden, Julien Maury, Alexandre Bustillo, E.L. Katz, Jen Soska, Aharon Keshales, Navot Papushado, Julian Gilbey, Dennison Ramalho, Jerome Sable, Robert Morgan, Sylvia Soska, Chris Nash, Hajime Ohata, S√¥ichi Umezawa, Todd Rohal, Julian Barratt, Alejandro Brugués, Jim Hosking, Robert Boocheck, Marvin Kren, Juan Mart√≠nez Moreno, Steven Kostanski","Magnet Releasing, Drafthouse Films, Timpson Films","United States of America, New Zealand, Canada, Israel, Japan","العربية, English, Français, Deutsch, עִבְרִית, 日本語, Português",The ABCs of Death Collection
35,140000000.0,tt0293564,en,Rush Hour 3,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",9.718111,2007-08-08,91.0,Released,The Rush Is On!,Rush Hour 3,258022233,"Action, Comedy, Crime, Thriller",ambassador,"Chris Tucker, Jackie Chan, Hiroyuki Sanada",Brett Ratner,New Line Cinema,United States of America,"Latin, English, Français, 日本語, 普通话",Rush Hour Collection
36,30000000.0,tt1656190,en,Safe,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.",8.234382,2012-04-16,94.0,Released,She has the code. He is the key.,Safe,40346186,"Action, Crime, Thriller",broken trachea,"Jason Statham, Chris Sarandon, James Hong",Boaz Yakin,"Lawrence Bender Productions, IM Global, Automatik Entertainment, Trigger Street Productions, 87Eleven",United States of America,"English, 普通话, Pусский",
37,16000000.0,tt0199314,en,About Adam,"A waitress falls for a handsome customer who seduces her, her two sisters, her brother, and her brother's girlfriend.",2.100499,2000-01-28,105.0,Released,He came. He saw. He conquered. One sister at a time.,About Adam,151559,"Comedy, Romance","sex, waitress, sister sister relationship, infidelity, virgin, seduction, brother, girlfriend, marriage, engagement, love, independent film, relationship, customer","Kate Hudson, Frances O'Connor, Tommy Tiernan",Gerard Stembridge,"Bórd Scannán na hÉireann, British Broadcasting Corporation (BBC), Venus Productions","Ireland, United Kingdom, United States of America",English,
38,50000000.0,tt0114069,en,Outbreak,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",13.676444,1995-03-10,127.0,Released,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,Outbreak,189859560,"Action, Drama, Science Fiction, Thriller","river, general, research, army, serum, monkey, epidemic, medical research","Dustin Hoffman, Rene Russo, Morgan Freeman",Wolfgang Petersen,"Kopelson Entertainment, Punch Productions, Warner Bros., Arnold Kopelson Productions",United States of America,"English, 한국어/조선말, Français",
39,16000000.0,tt2710368,en,Final: The Rapture,"A gritty, international tale of four separate stories woven together by a common theme: the Rapture.",0.32926,2013-09-13,90.0,Released,What if you woke up and it finally happened?,Final: The Rapture,92100,Thriller,,"Jah Shams, Mary Grace, Masashi Nagadoi",Timothy A. Chey,,,"English, 日本語, Español",
40,3800000.0,tt0059418,en,Major Dundee,"During the last winter of the Civil War, cavalry officer Amos Dundee leads a contentious troop of Army regulars, Confederate prisoners and scouts on an expedition into Mexico to destroy a band of Apaches who have been raiding U.S. bases in Texas.",3.055936,1965-04-07,123.0,Released,,Major Dundee,14873,"War, Western","mexico, prisoners of war, apache, raid, confederate","Charlton Heston, Richard Harris, Jim Hutton",Sam Peckinpah,"Columbia Pictures Corporation, Jerry Bresler Productions",United States of America,"English, Français, Español",
41,16000000.0,tt0380268,en,Cocaine Cowboys,"In the 1980s, ruthless Colombian cocaine barons invaded Miami with a brand of violence unseen in this country since Prohibition-era Chicago - and it put the city on the map. Cocaine Cowboys is the true story of how Miami became the drug, murder and cash capital of the United States, told by the people who made it all happen.",2.941626,2006-04-26,118.0,Released,How Miami became the cocaine capital of the United States!,Cocaine Cowboys,163000,"Action, Documentary","cocaine, drug dealer","Jon Roberts, Jorge Ayala, Mickey Munday",Billy Corben,Rakontur,United States of America,English,Cocaine Cowboys
42,3000000.0,tt0061512,en,Cool Hand Luke,"When petty criminal Luke Jackson is sentenced to two years in a Florida prison farm, he doesn't play by the rules of either the sadistic warden or the yard's resident heavy, Dragline, who ends up admiring the new guy's unbreakable will. Luke's bravado, even in the face of repeated stints in the prison's dreaded solitary confinement cell, the box, make him a rebel hero to his fellow convicts and a thorn in the side of the prison officers.",9.718713,1967-06-22,126.0,Released,What we've got here is failure to communicate.,Cool Hand Luke,16217773,"Crime, Drama","prison, rebel, loss of mother, harassment, imprisonment, dying and death, boxing match, escape, barbed wire, punched in the face, eggs, death","Paul Newman, George Kennedy, Luke Askew",Stuart Rosenberg,"Warner Bros., Jalem Productions",United States of America,English,
43,25000000.0,tt0156841,en,The Next Best Thing,"A comedy-drama about best friends - one a straight woman, Abbie, the other a gay man, Robert - who decide to have a child together. Five years later, Abbie falls in love with a straight man and wants to move away with her and Robert's little boy Sam, and a nasty custody battle ensues.",2.971999,2000-03-03,108.0,Released,Best Friends Make The Best Mistakes,The Next Best Thing,24362772,Comedy,"gay, parent child relationship, custody battle, flush, yoga, single, best friend, los angeles, single father, co-parenting","Madonna, Rupert Everett, Benjamin Bratt",John Schlesinger,"Paramount Pictures, Lakeshore Entertainment",United States of America,"Français, English",
44,6000000.0,tt2933544,en,5 Flights Up,A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,9.383088,2014-09-05,92.0,Released,A coming of age story,5 Flights Up,1020921,Drama,"new york, married couple, moving out, moving, apartment","Morgan Freeman, Diane Keaton, Carrie Preston",Richard Loncraine,"Revelations Entertainment, Lascaux Films, Latitude Productions",United States of America,English,
45,15000000.0,tt0372532,en,The Wedding Date,"With the wedding of her younger sister fast approaching, Kat Ellis faces the undesirable prospect of traveling alone to London for the ceremony. While this is bad enough, Jeffrey, the man who left her as they moved closer to marriage, happens to be the groom's best man. Determined to show everyone -- most of all Jeffrey -- that her romantic life is as full and thrilling as ever, Kat hires a charming male escort as her date.",5.615303,2005-02-04,88.0,Released,Love doesn't come cheap.,The Wedding Date,47175038,"Comedy, Romance","based on novel, callboy, wedding, escort, fake boyfriend, woman director","Debra Messing, Dermot Mulroney, Amy Adams",Clare Kilner,"26 Films, Gold Circle Films, Visionview Production",United States of America,English,
46,3906840.0,tt1379222,it,La doppia ora,A chambermaid and a former cop meet at a speed dating event and a romance develops. But during a romantic getaway things suddenly take a turn for the worse when her mysterious past is revealed.,2.382068,2009-10-09,95.0,Released,A romance. A robbery. A mystery.,The Double Hour,4300000,"Crime, Drama, Mystery, Romance, Thriller","suicide, sex, hotel, dream, psychology, loss, cop, love, microphone, photograph, death of lover","Kseniya Rappoport, Filippo Timi, Antonia Truppo",Giuseppe Capotondi,"Indigo Film, Medusa Film",Italy,"Italiano, Español",
